,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Equipment,Original Airline,Src City,Dest City,Airline Name
1064,4M,3201,JFK,3797,EZE,3988,777,4M,New York,Buenos Aires,Advance Leasing Company
1107,4O,17885,JFK,3797,MEX,1824,320,4O,New York,Mexico City,United Airways
3586,9E,3976,JFK,3797,MSY,3861,CR9,9E,New York,New Orleans,Maldivian Air Taxi
3589,9E,3976,LGA,3697,MSY,3861,CR9,9E,New York,New Orleans,Princess Air
5002,AA,24,CLT,3876,SFO,3469,321,AA,Charlotte,San Francisco,Aegean Airlines
5312,AA,24,DFW,3670,SFO,3469,738 757 763,AA,Dallas-Fort Worth,San Francisco,American Airlines
5516,AA,24,HKG,3077,SFO,3469,773 744,AA,Hong Kong,San Francisco,American Airlines
5519,AA,24,HND,2359,SFO,3469,787,AA,Tokyo,San Francisco,American Airlines
5591,AA,24,JFK,3797,AMM,2170,340 330,AA,New York,Amman,American Airlines
5592,AA,24,JFK,3797,ANU,2874,738,AA,New York,Antigua,American Airlines
5593,AA,24,JFK,3797,AUH,2179,777,AA,New York,Abu Dhabi,American Airlines
5594,AA,24,JFK,3797,AUS,3673,738,AA,New York,Austin,American Airlines
5595,AA,24,JFK,3797,BCN,1218,763,AA,New York,Barcelona,American Airlines
5596,AA,24,JFK,3797,BDA,4069,738,AA,New York,Bermuda,American Airlines
5597,AA,24,JFK,3797,BNA,3690,ER4,AA,New York,Nashville,American Airlines
5598,AA,24,JFK,3797,BOS,3448,738,AA,New York,Boston,American Airlines
5599,AA,24,JFK,3797,BWI,3849,ER4,AA,New York,Baltimore,American Airlines
5600,AA,24,JFK,3797,CCS,2851,757 738,AA,New York,Caracas,American Airlines
5601,AA,24,JFK,3797,CDG,1382,763 757,AA,New York,Paris,American Airlines
5602,AA,24,JFK,3797,CLE,3486,ER4,AA,New York,Cleveland,American Airlines
5603,AA,24,JFK,3797,CLT,3876,321 319,AA,New York,Charlotte,American Airlines
5604,AA,24,JFK,3797,CMH,3759,ER4 CR7,AA,New York,Columbus,American Airlines
5605,AA,24,JFK,3797,CUN,1852,738,AA,New York,Cancun,American Airlines
5606,AA,24,JFK,3797,CVG,3488,ER4,AA,New York,Cincinnati,American Airlines
5607,AA,24,JFK,3797,DCA,3520,738,AA,New York,Washington,American Airlines
5608,AA,24,JFK,3797,DFW,3670,738 757,AA,New York,Dallas-Fort Worth,American Airlines
5609,AA,24,JFK,3797,DOH,11051,777,AA,New York,Doha,American Airlines
5610,AA,24,JFK,3797,DUB,599,757,AA,New York,Dublin,American Airlines
5611,AA,24,JFK,3797,DUS,345,330,AA,New York,Duesseldorf,American Airlines
5612,AA,24,JFK,3797,EZE,3988,777,AA,New York,Buenos Aires,American Airlines
5613,AA,24,JFK,3797,FCO,1555,763,AA,New York,Rome,American Airlines
5614,AA,24,JFK,3797,GIG,2560,763,AA,New York,Rio De Janeiro,American Airlines
5615,AA,24,JFK,3797,GRU,2564,773 77W 777,AA,New York,Sao Paulo,American Airlines
5616,AA,24,JFK,3797,GYE,2673,763,AA,New York,Guayaquil,American Airlines
5617,AA,24,JFK,3797,HEL,421,330,AA,New York,Helsinki,American Airlines
5618,AA,24,JFK,3797,HKG,3077,773,AA,New York,Hong Kong,American Airlines
5619,AA,24,JFK,3797,IND,3585,ER4,AA,New York,Indianapolis,American Airlines
5620,AA,24,JFK,3797,LAS,3877,738,AA,New York,Las Vegas,American Airlines
5621,AA,24,JFK,3797,LAX,3484,32B 762,AA,New York,Los Angeles,American Airlines
5622,AA,24,JFK,3797,LCY,503,318,AA,New York,London,American Airlines
5623,AA,24,JFK,3797,LHR,507,777 77W,AA,New York,London,American Airlines
5624,AA,24,JFK,3797,LIM,2789,763,AA,New York,Lima,American Airlines
5625,AA,24,JFK,3797,MAD,1229,330 757 340,AA,New York,Madrid,American Airlines
5626,AA,24,JFK,3797,MAN,478,757,AA,New York,Manchester,American Airlines
5627,AA,24,JFK,3797,MCO,3878,763 757,AA,New York,Orlando,American Airlines
5628,AA,24,JFK,3797,MIA,3576,757 763 738,AA,New York,Miami,American Airlines
5629,AA,24,JFK,3797,MXP,1524,763,AA,New York,Milano,American Airlines
5630,AA,24,JFK,3797,NRT,2279,787 773,AA,New York,Tokyo,American Airlines
5631,AA,24,JFK,3797,ORD,3830,738,AA,New York,Chicago,American Airlines
5632,AA,24,JFK,3797,ORF,3611,ER4,AA,New York,Norfolk,American Airlines
5633,AA,24,JFK,3797,ORY,1386,757,AA,New York,Paris,American Airlines
5634,AA,24,JFK,3797,PAP,1897,763,AA,New York,Port-au-prince,American Airlines
5635,AA,24,JFK,3797,PHX,3462,321,AA,New York,Phoenix,American Airlines
5636,AA,24,JFK,3797,PIT,3570,ER4,AA,New York,Pittsburgh,American Airlines
5637,AA,24,JFK,3797,RDU,3626,ERD CR7,AA,New York,Raleigh-durham,American Airlines
5638,AA,24,JFK,3797,SAN,3731,738,AA,New York,San Diego,American Airlines
5639,AA,24,JFK,3797,SCL,2650,787,AA,New York,Santiago,American Airlines
5640,AA,24,JFK,3797,SEA,3577,738,AA,New York,Seattle,American Airlines
5641,AA,24,JFK,3797,SFO,3469,32B 763,AA,New York,San Francisco,American Airlines
5642,AA,24,JFK,3797,SJO,1885,738,AA,New York,San Jose,American Airlines
5643,AA,24,JFK,3797,SJU,2890,757,AA,New York,San Juan,American Airlines
5644,AA,24,JFK,3797,STT,2883,757,AA,New York,St. Thomas,American Airlines
5645,AA,24,JFK,3797,SXM,2899,757,AA,New York,Philipsburg,American Airlines
5646,AA,24,JFK,3797,TPA,3646,CR7,AA,New York,Tampa,American Airlines
5647,AA,24,JFK,3797,TXL,351,330,AA,New York,Berlin,American Airlines
5648,AA,24,JFK,3797,YUL,146,ERD,AA,New York,Montreal,American Airlines
5649,AA,24,JFK,3797,YYC,178,737,AA,New York,Calgary,American Airlines
5650,AA,24,JFK,3797,YYZ,193,CR7,AA,New York,Toronto,American Airlines
5651,AA,24,JFK,3797,ZRH,1678,763,AA,New York,Zurich,American Airlines
5745,AA,24,LAX,3484,SFO,3469,738,AA,Los Angeles,San Francisco,American Airlines
5767,AA,24,LGA,3697,BNA,3690,CR7,AA,New York,Nashville,American Airlines
5768,AA,24,LGA,3697,BOS,3448,319 E90,AA,New York,Boston,American Airlines
5769,AA,24,LGA,3697,CHO,4015,ERD,AA,New York,Charlottesville VA,American Airlines
5770,AA,24,LGA,3697,CLT,3876,321 319 320,AA,New York,Charlotte,American Airlines
5771,AA,24,LGA,3697,CMH,3759,CR7 ERD,AA,New York,Columbus,American Airlines
5772,AA,24,LGA,3697,DAY,3627,ERD,AA,New York,Dayton,American Airlines
5773,AA,24,LGA,3697,DCA,3520,319 E90,AA,New York,Washington,American Airlines
5774,AA,24,LGA,3697,DFW,3670,738,AA,New York,Dallas-Fort Worth,American Airlines
5775,AA,24,LGA,3697,DTW,3645,CR7,AA,New York,Detroit,American Airlines
5776,AA,24,LGA,3697,GSO,4008,ERD,AA,New York,Greensboro,American Airlines
5777,AA,24,LGA,3697,ILM,3845,ERD,AA,New York,Wilmington,American Airlines
5778,AA,24,LGA,3697,LIT,3660,CR7,AA,New York,Little Rock,American Airlines
5779,AA,24,LGA,3697,MIA,3576,738,AA,New York,Miami,American Airlines
5780,AA,24,LGA,3697,ORD,3830,738,AA,New York,Chicago,American Airlines
5781,AA,24,LGA,3697,ORF,3611,ERD,AA,New York,Norfolk,American Airlines
5782,AA,24,LGA,3697,PBI,3722,738,AA,New York,West Palm Beach,American Airlines
5783,AA,24,LGA,3697,PHL,3752,E90 DH3 319,AA,New York,Philadelphia,American Airlines
5784,AA,24,LGA,3697,PIT,3570,CRJ E75,AA,New York,Pittsburgh,American Airlines
5785,AA,24,LGA,3697,RDU,3626,ERD CR7,AA,New York,Raleigh-durham,American Airlines
5786,AA,24,LGA,3697,RIC,3608,ERD,AA,New York,Richmond,American Airlines
5787,AA,24,LGA,3697,ROA,4016,ERD,AA,New York,Roanoke VA,American Airlines
5788,AA,24,LGA,3697,SDF,4014,ERD,AA,New York,Louisville,American Airlines
5789,AA,24,LGA,3697,STL,3678,CR7,AA,New York,St. Louis,American Airlines
5790,AA,24,LGA,3697,TYS,3676,ERD,AA,New York,Knoxville,American Airlines
5791,AA,24,LGA,3697,XNA,4356,CR7,AA,New York,Bentonville,American Airlines
5792,AA,24,LGA,3697,YUL,146,ERD,AA,New York,Montreal,American Airlines
5793,AA,24,LGA,3697,YYZ,193,CR7,AA,New York,Toronto,American Airlines
5881,AA,24,LHR,507,SFO,3469,744,AA,London,San Francisco,American Airlines
